,Datetime,Open,High,Low,Close,Volume
0,2020-01-01T00:00:00,1308.4,1318.9,1303.0,1309.95,3123998
1,2020-01-02T00:00:00,1312.0,1348.0,1311.0,1345.3,4335359
2,2020-01-03T00:00:00,1344.95,1344.95,1330.15,1335.05,2059871
3,2020-01-06T00:00:00,1331.0,1332.0,1314.1,1316.75,2646905
4,2020-01-07T00:00:00,1328.0,1339.5,1313.75,1320.5,2077893
5,2020-01-08T00:00:00,1302.0,1308.7,1283.35,1291.55,4147568
6,2020-01-09T00:00:00,1311.0,1319.9,1305.1,1316.15,2067779
7,2020-01-10T00:00:00,1319.0,1335.95,1319.0,1324.6,2360798
8,2020-01-13T00:00:00,1329.0,1339.4,1328.7,1334.7,1825244
9,2020-01-14T00:00:00,1329.8,1331.0,1315.1,1326.1,2046500
10,2020-01-15T00:00:00,1325.6,1336.15,1320.0,1323.6,2127677
11,2020-01-16T00:00:00,1327.7,1332.9,1317.4,1319.3,1773135
12,2020-01-17T00:00:00,1320.6,1325.95,1302.0,1304.2,2941837
13,2020-01-20T00:00:00,1313.95,1319.9,1306.5,1309.6,2542477
14,2020-01-21T00:00:00,1304.75,1313.9,1300.45,1302.35,1361576
15,2020-01-22T00:00:00,1311.0,1312.0,1292.0,1294.2,2449753
16,2020-01-23T00:00:00,1307.0,1339.85,1306.0,1332.3,10056067
17,2020-01-24T00:00:00,1332.0,1367.85,1332.0,1359.2,5837319
18,2020-01-27T00:00:00,1340.0,1364.9,1340.0,1348.6,2510013
19,2020-01-28T00:00:00,1350.9,1355.0,1338.0,1346.65,2352852
20,2020-01-29T00:00:00,1353.1,1374.95,1352.1,1365.7,3678474
21,2020-01-30T00:00:00,1365.95,1376.8,1353.0,1370.2,2743506
22,2020-01-31T00:00:00,1375.95,1377.0,1360.45,1369.3,3939306
23,2020-02-01T00:00:00,1372.6,1383.7,1280.0,1287.4,8300700
24,2020-02-03T00:00:00,1290.0,1303.9,1272.0,1286.65,5767353
25,2020-02-04T00:00:00,1296.0,1307.3,1287.55,1291.75,3604309
26,2020-02-05T00:00:00,1297.9,1325.0,1295.0,1310.05,4220104
27,2020-02-06T00:00:00,1322.9,1325.0,1309.05,1317.6,2354458
28,2020-02-07T00:00:00,1313.05,1314.4,1296.0,1299.0,3053804
29,2020-02-10T00:00:00,1300.0,1302.45,1273.1,1285.3,3039992
30,2020-02-11T00:00:00,1292.0,1298.95,1284.0,1286.9,2200796
31,2020-02-12T00:00:00,1289.1,1299.85,1280.0,1297.3,2568696
32,2020-02-13T00:00:00,1299.0,1299.85,1285.0,1292.25,1545536
33,2020-02-14T00:00:00,1295.0,1304.95,1290.6,1295.15,1780119
34,2020-02-17T00:00:00,1297.0,1297.85,1277.0,1280.2,2155085
35,2020-02-18T00:00:00,1281.5,1289.8,1266.45,1286.35,2347917
36,2020-02-19T00:00:00,1298.0,1299.0,1276.6,1281.4,1820353
37,2020-02-20T00:00:00,1279.9,1288.9,1275.3,1280.6,3034681
38,2020-02-24T00:00:00,1271.9,1271.9,1252.65,1259.7,3414064
39,2020-02-25T00:00:00,1262.2,1265.65,1240.15,1242.05,3133077
40,2020-02-26T00:00:00,1235.0,1238.0,1206.0,1211.15,5721483
41,2020-02-27T00:00:00,1212.35,1216.95,1200.0,1210.35,4003149
42,2020-02-28T00:00:00,1189.65,1196.45,1162.0,1187.55,6286647
43,2020-03-02T00:00:00,1205.0,1212.35,1150.55,1160.9,3177486
44,2020-03-03T00:00:00,1166.0,1186.8,1162.05,1181.3,3134527
45,2020-03-04T00:00:00,1185.0,1187.85,1158.0,1176.65,3135151
46,2020-03-05T00:00:00,1180.1,1187.25,1166.2,1182.45,2625152
47,2020-03-06T00:00:00,1148.0,1164.0,1130.85,1158.9,3956575
48,2020-03-09T00:00:00,1135.8,1135.8,1067.3,1101.95,8038432
49,2020-03-11T00:00:00,1090.0,1120.95,1085.8,1116.95,5628178
50,2020-03-12T00:00:00,1070.0,1070.05,1004.1,1016.55,9200492
51,2020-03-13T00:00:00,950.0,1060.45,890.0,1051.45,8117968
52,2020-03-16T00:00:00,1014.25,1042.0,961.9,968.7,6672579
53,2020-03-17T00:00:00,972.0,1005.0,940.15,956.75,4720357
54,2020-03-18T00:00:00,968.0,974.75,900.0,904.55,5586629
55,2020-03-19T00:00:00,873.9,884.0,837.7,843.1,7252149
56,2020-03-20T00:00:00,849.0,877.8,831.3,864.7,6130498
57,2020-03-23T00:00:00,809.0,809.95,706.0,724.05,7310033
58,2020-03-24T00:00:00,755.0,755.75,672.0,707.9,7113438
59,2020-03-25T00:00:00,697.2,775.0,661.0,765.75,16122626
60,2020-03-26T00:00:00,787.75,842.3,754.15,838.0,9028697
61,2020-03-27T00:00:00,867.9,890.0,812.0,837.05,6573602
62,2020-03-30T00:00:00,801.0,815.0,791.0,798.65,4474168
63,2020-03-31T00:00:00,820.0,823.0,791.2,808.5,8045539
64,2020-04-01T00:00:00,806.85,812.4,766.55,774.35,4104461
65,2020-04-03T00:00:00,791.1,791.1,762.8,774.65,4268501
66,2020-04-07T00:00:00,805.0,813.0,791.0,801.65,5769216
67,2020-04-08T00:00:00,804.0,832.0,797.7,807.1,6151093
68,2020-04-09T00:00:00,834.35,834.35,804.4,812.8,6410629
69,2020-04-13T00:00:00,812.8,872.4,807.95,865.45,9462929
70,2020-04-15T00:00:00,890.95,926.6,869.0,880.15,10435586
71,2020-04-16T00:00:00,875.95,919.8,870.15,911.65,6980628
72,2020-04-17T00:00:00,930.0,940.0,916.0,932.9,5827735
73,2020-04-20T00:00:00,940.8,943.0,911.0,915.6,4958437
74,2020-04-21T00:00:00,897.0,906.6,863.0,870.35,5122597
75,2020-04-22T00:00:00,873.0,885.5,850.0,852.6,6090177
76,2020-04-23T00:00:00,860.0,869.5,835.0,840.6,6322048
77,2020-04-24T00:00:00,838.0,869.0,834.15,851.2,7960660
78,2020-04-27T00:00:00,861.95,874.9,852.25,855.25,4224467
79,2020-04-28T00:00:00,863.8,867.7,852.1,857.15,3773038
80,2020-04-29T00:00:00,862.0,883.05,854.0,875.35,4841417
81,2020-04-30T00:00:00,890.2,916.8,884.1,897.55,6333023
82,2020-05-04T00:00:00,880.0,880.0,845.0,850.65,4678679
83,2020-05-05T00:00:00,861.0,869.8,835.0,836.9,4296534
84,2020-05-06T00:00:00,838.0,848.0,817.6,837.3,5081614
85,2020-05-07T00:00:00,833.0,836.05,820.1,822.85,3529156
86,2020-05-08T00:00:00,833.0,834.85,810.0,815.95,4394534
87,2020-05-11T00:00:00,821.2,827.5,816.35,821.6,2882960
88,2020-05-12T00:00:00,817.0,819.25,804.0,814.8,3024386
89,2020-05-13T00:00:00,863.7,871.95,850.5,862.9,8625530
90,2020-05-14T00:00:00,858.9,879.6,841.5,871.65,6778688
91,2020-05-15T00:00:00,881.95,885.0,854.0,864.4,5654025
92,2020-05-18T00:00:00,869.9,870.0,810.0,813.35,6211450
93,2020-05-19T00:00:00,827.1,833.8,791.7,796.35,5533176
94,2020-05-20T00:00:00,800.0,841.0,800.0,835.0,5950015
95,2020-05-21T00:00:00,835.95,845.0,818.1,820.5,4701980
96,2020-05-22T00:00:00,815.0,826.5,810.1,815.7,4609134
97,2020-05-26T00:00:00,821.9,842.7,821.0,825.55,4335430
98,2020-05-27T00:00:00,831.95,857.2,827.0,850.85,5159303
99,2020-05-28T00:00:00,855.0,912.0,855.0,905.5,11481632
100,2020-05-29T00:00:00,893.2,937.5,891.0,932.25,10166680
101,2020-06-01T00:00:00,944.65,974.15,924.0,928.15,7617393
102,2020-06-02T00:00:00,935.0,953.0,913.05,945.45,7325689
103,2020-06-03T00:00:00,955.95,972.85,955.0,961.3,4651583
104,2020-06-04T00:00:00,961.05,968.0,928.6,930.7,5355971
105,2020-06-05T00:00:00,940.0,959.9,936.6,955.25,6071134
106,2020-06-08T00:00:00,979.5,995.0,949.0,961.35,9859059
107,2020-06-09T00:00:00,964.5,970.25,949.7,953.3,5118269
108,2020-06-10T00:00:00,957.0,959.5,935.7,946.55,5176121
109,2020-06-11T00:00:00,944.0,952.0,928.2,930.45,3603243
110,2020-06-12T00:00:00,890.0,929.9,890.0,926.4,5411426
111,2020-06-15T00:00:00,921.8,929.45,894.1,899.9,4982534
112,2020-06-16T00:00:00,920.0,924.7,891.15,895.05,4661880
113,2020-06-17T00:00:00,892.7,899.75,881.1,884.8,4681399
114,2020-06-18T00:00:00,876.0,900.0,874.0,896.65,5870459
115,2020-06-19T00:00:00,902.0,915.9,895.1,898.2,5410276
116,2020-06-22T00:00:00,905.0,916.0,896.0,907.45,6841671
117,2020-06-23T00:00:00,910.0,970.0,909.0,967.6,14580386
118,2020-06-24T00:00:00,979.0,989.9,952.0,955.55,11985144
119,2020-06-25T00:00:00,949.9,964.8,936.25,943.1,7508089
120,2020-06-26T00:00:00,955.0,976.1,940.5,962.2,6554208
121,2020-06-29T00:00:00,950.0,956.1,930.0,936.6,4575981
122,2020-06-30T00:00:00,948.7,952.15,931.4,943.65,3656535
123,2020-07-01T00:00:00,941.0,941.0,917.0,924.3,6426447
124,2020-07-02T00:00:00,936.0,950.7,926.0,941.3,6542838
125,2020-07-03T00:00:00,948.0,955.4,941.6,944.25,3928373
126,2020-07-06T00:00:00,953.1,959.5,946.65,951.2,3901314
127,2020-07-07T00:00:00,955.0,961.9,940.0,943.6,4051823
128,2020-07-08T00:00:00,944.95,964.4,938.0,941.25,5227150
129,2020-07-09T00:00:00,945.0,952.0,940.0,944.95,3777810
130,2020-07-10T00:00:00,940.0,952.0,930.55,932.15,4537693
131,2020-07-13T00:00:00,940.0,944.8,925.0,928.15,3821343
132,2020-07-14T00:00:00,928.0,934.95,905.85,912.9,3646381
133,2020-07-15T00:00:00,918.05,925.0,909.3,912.2,3229981
134,2020-07-16T00:00:00,913.0,924.0,898.45,921.15,3134583
135,2020-07-17T00:00:00,922.1,929.95,918.0,925.55,2040652
136,2020-07-20T00:00:00,929.0,931.9,915.0,919.6,3036076
137,2020-07-21T00:00:00,927.0,942.3,920.6,938.05,4759427
138,2020-07-22T00:00:00,939.2,941.0,910.0,920.9,4977538
139,2020-07-23T00:00:00,912.0,937.95,911.35,916.55,9075111
140,2020-07-24T00:00:00,914.4,914.5,898.05,904.4,6059497
141,2020-07-27T00:00:00,908.0,915.0,896.3,903.8,3615980
142,2020-07-28T00:00:00,908.8,917.0,899.0,913.5,3793771
143,2020-07-29T00:00:00,919.6,940.85,917.25,921.95,7245293
144,2020-07-30T00:00:00,929.0,932.7,904.2,908.25,3364418
145,2020-07-31T00:00:00,913.9,922.9,907.05,913.45,2944063
146,2020-08-03T00:00:00,913.0,919.75,903.55,915.9,3583271
147,2020-08-04T00:00:00,918.0,930.0,916.6,924.25,3860457
148,2020-08-05T00:00:00,923.95,934.5,920.8,925.75,3008672
149,2020-08-06T00:00:00,926.05,933.7,920.25,922.15,2188238
150,2020-08-07T00:00:00,922.55,926.85,914.1,915.65,2461159
151,2020-08-10T00:00:00,925.0,970.0,925.0,960.05,11861752
152,2020-08-11T00:00:00,969.6,979.7,957.1,961.9,5427537
153,2020-08-12T00:00:00,952.0,956.0,945.0,949.75,3673009
154,2020-08-13T00:00:00,957.0,993.65,951.55,990.7,8816753
155,2020-08-14T00:00:00,999.95,1017.0,973.4,982.8,13444105
156,2020-08-17T00:00:00,1002.0,1007.0,987.7,1000.8,4735275
157,2020-08-18T00:00:00,1005.95,1008.0,995.4,1004.55,4362052
158,2020-08-19T00:00:00,1017.25,1024.95,1005.4,1009.1,4914253
159,2020-08-20T00:00:00,986.0,1005.0,981.0,995.75,4791067
160,2020-08-21T00:00:00,1010.0,1010.0,992.0,994.15,2806880
161,2020-08-24T00:00:00,996.0,1001.4,990.0,991.35,2026316
162,2020-08-25T00:00:00,993.0,999.9,977.8,980.4,2914757
163,2020-08-26T00:00:00,987.0,988.0,965.0,968.95,4482342
164,2020-08-27T00:00:00,975.25,980.0,965.3,975.6,4466694
165,2020-08-28T00:00:00,988.0,1004.7,978.2,981.85,7821217
166,2020-08-31T00:00:00,988.1,995.4,940.4,944.95,8490694
167,2020-09-01T00:00:00,964.95,966.0,943.3,955.2,5100024
168,2020-09-02T00:00:00,956.45,959.8,948.0,955.55,2107726
169,2020-09-03T00:00:00,960.0,971.0,953.3,961.15,3279009
170,2020-09-04T00:00:00,948.0,956.15,940.0,942.5,3130771
171,2020-09-07T00:00:00,947.15,950.75,916.25,932.15,3470842
172,2020-09-08T00:00:00,936.0,936.0,912.95,916.7,3739099
173,2020-09-09T00:00:00,907.55,928.0,901.0,909.5,5656608
174,2020-09-10T00:00:00,917.7,923.0,912.0,920.95,2948624
175,2020-09-11T00:00:00,920.0,921.55,912.0,917.4,2632367
176,2020-09-14T00:00:00,922.4,923.35,901.0,902.1,5006822
177,2020-09-15T00:00:00,910.0,915.2,900.0,909.95,4488940
178,2020-09-16T00:00:00,915.0,924.0,911.35,921.8,3596210
179,2020-09-17T00:00:00,915.0,917.95,905.05,906.3,4512699
180,2020-09-18T00:00:00,911.2,914.1,897.0,900.7,7496745
181,2020-09-21T00:00:00,901.0,903.8,874.3,881.85,4598553
182,2020-09-22T00:00:00,887.95,887.95,852.0,856.5,5089088
183,2020-09-23T00:00:00,866.2,873.7,854.55,860.6,3709625
184,2020-09-24T00:00:00,856.0,859.9,843.0,850.7,11609455
