,Datetime,Open,High,Low,Close,Volume
0,2020-01-01T00:00:00,83.97,84.5,83.83,83.97,2127492
1,2020-01-02T00:00:00,84.13,84.8,84.0,84.67,2559180
2,2020-01-03T00:00:00,84.33,85.0,84.1,84.57,8852105
3,2020-01-06T00:00:00,84.33,84.33,83.0,83.27,12631499
4,2020-01-07T00:00:00,83.53,84.97,82.73,83.03,8451693
5,2020-01-08T00:00:00,82.03,82.6,81.0,81.23,8885759
6,2020-01-09T00:00:00,83.27,83.67,81.9,83.0,9218835
7,2020-01-10T00:00:00,83.33,83.83,82.7,83.63,8377343
8,2020-01-13T00:00:00,83.93,85.07,83.53,84.63,5747384
9,2020-01-14T00:00:00,85.07,85.47,84.43,84.6,4488135
10,2020-01-15T00:00:00,84.63,84.67,83.33,83.8,4768492
11,2020-01-16T00:00:00,84.03,84.33,82.67,82.77,7051795
12,2020-01-17T00:00:00,82.77,82.83,81.53,81.77,7715842
13,2020-01-20T00:00:00,78.63,79.8,75.8,78.33,45262474
14,2020-01-21T00:00:00,78.67,78.97,76.17,76.53,46511802
15,2020-01-22T00:00:00,77.77,77.93,74.63,75.77,71728557
16,2020-01-23T00:00:00,76.73,80.6,76.7,78.9,209929135
17,2020-01-24T00:00:00,81.0,81.1,79.4,79.77,26158995
18,2020-01-27T00:00:00,79.5,80.13,78.0,78.3,13598855
19,2020-01-28T00:00:00,78.77,79.73,77.57,78.6,21276548
20,2020-01-29T00:00:00,79.2,79.97,78.53,78.87,21334647
21,2020-01-30T00:00:00,79.93,79.97,77.47,78.1,28004675
22,2020-01-31T00:00:00,79.03,79.03,75.07,75.63,36742641
23,2020-02-01T00:00:00,75.57,76.47,72.1,72.6,19289087
24,2020-02-03T00:00:00,73.37,74.93,71.7,72.03,25072213
25,2020-02-04T00:00:00,73.33,76.13,73.0,75.87,21018948
26,2020-02-05T00:00:00,76.57,77.23,75.93,76.47,15743983
27,2020-02-06T00:00:00,77.0,78.33,76.93,78.03,13080297
28,2020-02-07T00:00:00,77.8,78.5,76.67,78.33,10836941
29,2020-02-10T00:00:00,78.27,78.9,76.83,77.2,13771283
30,2020-02-11T00:00:00,77.33,78.27,77.13,77.37,10333935
31,2020-02-12T00:00:00,77.37,77.97,76.43,76.73,11943767
32,2020-02-13T00:00:00,76.63,77.17,76.17,76.5,9028140
33,2020-02-14T00:00:00,76.47,77.13,75.8,76.73,11808749
34,2020-02-17T00:00:00,76.67,76.87,74.17,74.53,9671741
35,2020-02-18T00:00:00,74.6,76.73,73.63,75.1,14517328
36,2020-02-19T00:00:00,75.87,76.33,75.1,76.13,8021126
37,2020-02-20T00:00:00,75.7,76.3,74.67,74.87,10958877
38,2020-02-24T00:00:00,75.2,75.4,73.43,73.7,7926996
39,2020-02-25T00:00:00,74.6,75.3,73.4,73.63,11212323
40,2020-02-26T00:00:00,73.47,74.2,72.0,72.23,11476899
41,2020-02-27T00:00:00,72.23,72.23,70.0,70.43,17657965
42,2020-02-28T00:00:00,69.2,71.6,67.27,70.5,24217885
43,2020-03-02T00:00:00,72.3,75.27,68.73,69.3,14580876
44,2020-03-03T00:00:00,70.33,71.87,69.53,71.1,13272595
45,2020-03-04T00:00:00,71.2,72.5,70.5,71.07,13611167
46,2020-03-05T00:00:00,71.7,72.27,69.63,69.87,10165175
47,2020-03-06T00:00:00,67.87,67.87,66.2,67.2,24683806
48,2020-03-09T00:00:00,68.2,70.17,65.33,66.27,33011189
49,2020-03-11T00:00:00,66.7,66.73,63.37,64.6,20255316
